filename,N,R,REC,D_L,DET,H_L,V_L,LAM,CORM
P12_IMG123_10111_rqa_data.npz,44,58,6.13107822410148,15,25.862068965517242,5,4,7.758620689655173,37.2093023255814
P02_IMG079_00100_rqa_data.npz,21,22,10.476190476190476,10,45.45454545454545,5,5,22.727272727272727,31.363636363636363
P44_IMG138_00111_rqa_data.npz,36,32,5.079365079365079,14,43.75,10,17,42.1875,7.678571428571429
P07_IMG004_10100_rqa_data.npz,32,33,6.653225806451613,9,27.272727272727273,8,8,24.242424242424242,39.002932551319645
P06_IMG089_00110_rqa_data.npz,47,71,6.567992599444958,24,33.80281690140845,29,25,38.028169014084504,37.293325168401715
P10_IMG132_00101_rqa_data.npz,28,9,2.380952380952381,0,0.0,0,0,0.0,36.21399176954733
P41_IMG090_00110_rqa_data.npz,22,40,17.316017316017316,26,65.0,28,34,77.5,27.976190476190474
P18_IMG039_00100_rqa_data.npz,20,15,7.894736842105263,7,46.666666666666664,6,4,33.333333333333336,42.10526315789474
P07_IMG062_00100_rqa_data.npz,47,70,6.475485661424607,38,54.285714285714285,37,36,52.142857142857146,13.540372670807454
P04_IMG056_00100_rqa_data.npz,22,25,10.822510822510823,4,16.0,10,16,52.0,37.714285714285715
P35_IMG025_01000_rqa_data.npz,21,17,8.095238095238095,6,35.294117647058826,2,2,11.764705882352942,34.411764705882355
P18_IMG142_00001_rqa_data.npz,29,18,4.433497536945813,4,22.22222222222222,0,4,11.11111111111111,27.57936507936508
P26_IMG071_00100_rqa_data.npz,33,35,6.628787878787879,8,22.857142857142858,14,8,31.428571428571427,34.107142857142854
P25_IMG045_00100_rqa_data.npz,18,14,9.15032679738562,2,14.285714285714286,6,4,35.714285714285715,40.7563025210084
P29_IMG087_00101_rqa_data.npz,21,28,13.333333333333334,14,50.0,15,15,53.57142857142857,29.285714285714285
P46_IMG149_10001_rqa_data.npz,46,31,2.995169082125604,8,25.806451612903224,4,0,6.451612903225806,28.602150537634408
P31_IMG103_00110_rqa_data.npz,17,16,11.764705882352942,6,37.5,7,6,40.625,35.9375
P36_IMG074_00101_rqa_data.npz,18,25,16.33986928104575,12,48.0,17,10,54.0,37.1764705882353
P48_IMG115_10001_rqa_data.npz,30,30,6.896551724137931,7,23.333333333333332,10,9,31.666666666666668,34.48275862068966
P37_IMG013_01001_rqa_data.npz,29,50,12.31527093596059,19,38.0,12,13,25.0,38.57142857142857
P18_IMG147_10001_rqa_data.npz,38,33,4.694167852062589,9,27.272727272727273,10,15,37.878787878787875,28.5012285012285
P39_IMG049_00100_rqa_data.npz,50,61,4.979591836734694,18,29.508196721311474,20,23,35.24590163934426,35.22917363666778
P31_IMG059_00100_rqa_data.npz,17,12,8.823529411764707,2,16.666666666666668,0,4,16.666666666666668,40.625
P20_IMG104_00110_rqa_data.npz,22,73,31.6017316017316,40,54.794520547945204,39,44,56.84931506849315,34.37703848662753
P28_IMG085_00100_rqa_data.npz,23,15,5.928853754940712,4,26.666666666666668,10,2,40.0,42.121212121212125
P29_IMG029_01000_rqa_data.npz,10,4,8.88888888888889,2,50.0,0,0,0.0,25.0
