trial_id,participant_id,image_id,duration_s,valid_pct,n_fix,mean_fix_dur,first_fix_latency,mean_sacc_amp,pupil_mean_0p5_2s
P15_IMG093_00110,P15,IMG093,15.05,1.0,41,317.07317073197987,0.0,0.20613205191287465,-0.00786255218170502
P15_IMG094_00110,P15,IMG094,14.966666666664183,1.0,33,394.94949494945735,0.0,0.1902011825794517,-0.05680025540865385
P15_IMG095_00110,P15,IMG095,15.05,1.0,37,361.71171171177883,0.0,0.1767130839034526,-0.10311688433636676
P15_IMG096_00110,P15,IMG096,15.05,1.0,39,333.33333333352437,0.0,0.2173044588545387,-0.13754054478236608
P15_IMG097_00110,P15,IMG097,15.033333333335817,1.0,38,348.2456140352511,0.0,0.2208269812918151,0.1039837221556072
P15_IMG098_00110,P15,IMG098,15.05,1.0,27,495.0617283951077,0.0,0.32454390378595205,0.016454591855898003
P15_IMG099_00111,P15,IMG099,15.033333333332092,1.0,35,350.4761904767581,16.66666666790843,0.26450275012600855,0.03125016767900068
P15_IMG100_00111,P15,IMG100,15.05,1.0,55,211.21212121187287,33.33333333209157,0.1993063854739025,-0.004394950447501717
P15_IMG101_00110,P15,IMG101,15.05,1.0,36,367.59259259266156,0.0,0.19192852174805616,-0.11997893616393372
P15_IMG102_00111,P15,IMG102,15.05,1.0,38,346.929824561763,100.0,0.19195882089156405,-0.4010340093256353
P15_IMG103_00110,P15,IMG103,15.05,1.0,35,390.0000000001064,0.0,0.17540438789555618,0.2449385748969184
P15_IMG104_00110,P15,IMG104,15.033333333332092,1.0,31,432.7956989250116,0.0,0.26483974215371064,0.06869020566835507
P15_IMG105_10110,P15,IMG105,15.05,1.0,41,308.94308943101544,0.0,0.2759886790158418,0.12926307091346154
P15_IMG106_10011,P15,IMG106,15.033333333335817,1.0,62,184.94623655952032,0.0,0.2487718656348268,-0.13612399258456387
P15_IMG107_10111,P15,IMG107,15.05,1.0,43,291.8604651166256,0.0,0.27625646887010413,0.09245358980618991
P15_IMG108_10001,P15,IMG108,15.05,1.0,59,206.2146892656209,0.0,0.1894135832530333,-0.19905836503584307
